"PB-2A","PB-2C","PB-31B","PB-18","PB-23","PB-24","PB-22","PB-10","PB-11","PB-12","Peri","CW1","CW2","CW3","PB-32","PB-33","PB-34","PB-35","PB-36","PB-37","PB-38","PB-39","PB-40","PB-41","PB-44","PB-47","PB-50","PB-51","PB-56","PB-59","NAM_335","NAM_336","NAM_342","NAM_343"
547,575,540,577,602,575,529,551,629,628,603,549,529,916,1009,657,644,539,2191,625,1109,853,580,1956,581,643,640,NA,996,1080,299,1908,546,517
548,576,542,581,602,578,532,555,631,636,610,561,530,1001,1018,662,891,539,1310,626,1728,859,590,1955,585,648,645,NA,1769,1089,284,612,622,942
554,580,542,583,612,605,533,571,631,649,615,570,534,1011,1018,664,909,558,2163,628,1728,861,598,1929,588,656,668,NA,1798,1712,296,856,2003,488
554,582,543,584,614,611,538,574,632,654,615,570,535,1014,1019,667,918,501,2071,634,1729,882,598,2580,596,656,671,NA,1757,1749,475,256,976,442
563,584,545,585,618,611,538,577,632,664,618,574,535,1129,1022,680,922,507,471,636,1770,898,598,2606,599,661,672,NA,1773,1719,629,520,1787,277
563,588,546,594,623,618,538,580,637,766,635,576,541,1149,1024,681,1051,510,515,636,1750,909,601,2632,605,663,676,NA,2059,1959,561,682,300,1994
563,592,547,594,623,620,546,580,649,807,638,579,546,1283,1038,682,1060,525,766,639,1950,980,602,630,614,668,676,NA,2084,1972,301,642,507,558
566,594,548,601,630,626,555,596,652,852,641,579,554,1733,1045,784,1060,526,817,645,1952,1011,614,652,620,673,694,NA,2039,1974,521,1139,518,553
566,597,549,605,632,626,561,605,656,864,649,581,562,1841,1718,798,1070,721,849,649,1976,1015,614,571,632,690,715,NA,2053,618,1047,1396,1928,638
571,599,549,609,632,634,562,611,675,868,661,582,566,1843,1739,809,1743,753,852,656,1958,1038,620,572,638,702,725,NA,2076,635,630,474,361,275
574,600,550,615,634,642,562,616,678,876,675,586,568,1860,1697,827,1716,771,1023,660,1934,1058,623,682,654,708,727,NA,2032,636,676,268,430,1909
581,602,550,626,636,646,568,617,686,879,678,586,569,1884,1743,1057,1732,967,1095,664,2116,1058,625,545,656,709,730,NA,766,585,1782,951,276,508
586,603,553,636,640,650,575,620,774,902,829,591,570,1891,1708,1031,1743,984,1762,664,2030,1061,629,555,693,755,751,NA,786,592,510,545,267,564
587,617,561,674,640,667,576,624,938,968,933,591,577,1893,1738,1046,1982,1000,2026,666,2047,1719,630,734,756,758,759,NA,790,593,316,897,517,1808
